threshold,roc_auc,pr_auc,precision,recall,f1,tn,fp,fn,tp,fpr,fnr
0.05,0.7926628490603853,0.30190869012268273,0.10728961635415588,0.9967917869746551,0.19372739743110112,1008,25852,10,3107,0.9624720774385703,0.003208213025344883
0.06,0.7926628490603853,0.30190869012268273,0.1099801390268123,0.9948668591594482,0.1980647015616517,1765,25095,16,3101,0.934288905435592,0.005133140840551813
0.07,0.7926628490603853,0.30190869012268273,0.11278633599184239,0.9935835739493102,0.20257718472004185,2498,24362,20,3097,0.9069992553983619,0.006416426050689766
0.08,0.7926628490603853,0.30190869012268273,0.1160573530515727,0.9919794674366378,0.20780268154171846,3310,23550,25,3092,0.8767684288905435,0.008020532563362208
0.09,0.7926628490603853,0.30190869012268273,0.1189998456551937,0.9894128970163619,0.2124479041091172,4028,22832,33,3084,0.8500372300819061,0.010587102983638113
0.1,0.7926628490603853,0.30190869012268273,0.12176391417939988,0.986846326596086,0.21678001339018288,4674,22186,41,3076,0.8259865971705138,0.01315367340391402
0.11,0.7926628490603853,0.30190869012268273,0.12434183880113406,0.984921398780879,0.22080771028877622,5240,21620,47,3070,0.8049143708116158,0.01507860121912095
0.12,0.7926628490603853,0.30190869012268273,0.12664984070503538,0.9820340070580686,0.2243641427838452,5752,21108,56,3061,0.7858525688756516,0.017965992941931345
0.13,0.7926628490603853,0.30190869012268273,0.12894914681534042,0.9794674366377928,0.22789534579927592,6237,20623,64,3053,0.7677959791511542,0.02053256336220725
0.14,0.7926628490603853,0.30190869012268273,0.13108469027311107,0.9762592236124479,0.23113440431430632,6689,20171,74,3043,0.7509679821295607,0.023740776387552134
0.15,0.7926628490603853,0.30190869012268273,0.13339482584442394,0.974334295797241,0.23466233966929378,7130,19730,80,3037,0.7345495160089353,0.025665704202759064
0.16,0.7926628490603853,0.30190869012268273,0.13597415997487775,0.972409367982034,0.23858627204030228,7600,19260,86,3031,0.7170513775130305,0.027590632017965994
0.17,0.7926628490603853,0.30190869012268273,0.13809784592917124,0.9708052614693615,0.24179951256542412,7974,18886,91,3026,0.7031273268801191,0.029194738530638434
0.18,0.7926628490603853,0.30190869012268273,0.14012176418645722,0.9672762271414822,0.24478363237801412,8358,18502,102,3015,0.688830975428146,0.032723772858517804
0.19,0.7926628490603853,0.30190869012268273,0.14227565316168117,0.9643888354186718,0.24796865333058363,8738,18122,111,3006,0.6746835443037975,0.0356111645813282
0.2,0.7926628490603853,0.30190869012268273,0.14399421128798842,0.9576515880654476,0.25034595546609634,9115,17745,132,2985,0.6606478034251675,0.04234841193455245
0.21,0.7926628490603853,0.30190869012268273,0.14616747023516677,0.9531600898299647,0.2534658533464147,9505,17355,146,2971,0.6461280714817572,0.04683991017003529
0.22,0.7926628490603853,0.30190869012268273,0.14825377764435105,0.9505935194096888,0.2565034843959659,9837,17023,154,2963,0.6337676842889054,0.0494064805903112
0.23,0.7926628490603853,0.30190869012268273,0.1502290076335878,0.9470644850818094,0.2593227039135591,10162,16698,165,2952,0.6216679076693968,0.05293551491819057
0.24,0.7926628490603853,0.30190869012268273,0.15237207375181272,0.9438562720564645,0.26238573021181716,10494,16366,175,2942,0.609307520476545,0.05614372794353545
